number,Filename,category,class,duration,Dissimilarity 0,Dissimilarity 45,Dissimilarity 90,Dissimilarity 135,Energy 0,Energy 45,Energy 90,Energy 135,Homogeneity 0,Homogeneity 45,Homogeneity 90,Homogeneity 135,Contrast 0,Contrast 45,Contrast 90,Contrast 135,Correlation 0,Correlation 45,Correlation 90,Correlation 135
218,CAMERA 4_OZ/good_image_png/OZ_good_image1194.png,good,0,0.046999999998661224,1.4747744005736396,2.0436366393519614,1.4947210636077821,2.0232626016970774,0.6466847450338603,0.6450906004913385,0.6468986519106257,0.6450915453169234,0.9192622185336796,0.9108640152686251,0.9193387346020354,0.9112287421520009,175.62360812487006,279.3899488081122,194.71179940039895,277.12150883651435,0.9935046724877846,0.989669168170486,0.9927975974097529,0.9897530468925437
219,CAMERA 4_OZ/good_image_png/OZ_good_image1195.png,good,0,0.0470000000022992,1.5720745373993004,2.133251424103812,1.555587688998809,2.1506594453926016,0.6497486836540698,0.6482535379234807,0.6499745297214319,0.6481554287015803,0.9215107273365766,0.9135374201863582,0.9212615060704319,0.9133703191608467,191.42500651554172,295.63051083478695,203.0261885753198,297.1623873578479,0.9929625726111452,0.9891340258273642,0.9925349766271204,0.9890777213184357
220,CAMERA 4_OZ/good_image_png/OZ_good_image1196.png,good,0,0.046999999998661224,1.5643145686737252,2.1514038029908087,1.6137659671531446,2.154384494534048,0.647294225772919,0.6457675267435228,0.647504293757221,0.6456985772453929,0.9200577598665058,0.9122195607495185,0.9202112788010698,0.9120927454958245,187.384225957813,294.7526148312479,210.7446086417957,294.37503067521595,0.9930982199226476,0.9891459394873694,0.9922366562401542,0.9891598437619071
221,CAMERA 4_OZ/good_image_png/OZ_good_image1197.png,good,0,0.0459999999984575,1.6502703935369267,2.2587453864913383,1.7482770138163128,2.2632522964615776,0.649575727145939,0.6480336301591519,0.6497446894199493,0.647941107191426,0.921923767186907,0.914016155191123,0.9215773617350358,0.9140153629760424,196.81753974462956,306.1673483830222,226.33822748303456,305.70149140566895,0.9928022435288776,0.9888056647547743,0.991721499844234,0.9888226977898449
222,CAMERA 4_OZ/good_image_png/OZ_good_image1198.png,good,0,0.0470000000022992,1.5856984623406716,2.169664615131425,1.6386470281541836,2.177643019792906,0.6499838652365715,0.648437531556646,0.650148790388166,0.6483825478069187,0.9231908617022628,0.9154981652309586,0.9232688370890391,0.9155441459900242,192.2546813917489,300.74837533561737,217.1691426616075,300.96692459651723,0.9929882209508152,0.9890337079329375,0.9920784617921712,0.989025738895623
223,CAMERA 4_OZ/good_image_png/OZ_good_image1199.png,good,0,0.046999999998661224,1.5988825905658577,2.217294533252088,1.7004260623043195,2.2053701365037797,0.6523242992164422,0.6507375575140552,0.6524934388934139,0.6506529588477646,0.9259703611846868,0.91849838885581,0.925228917238015,0.9184164661358697,193.0088627183067,307.9147690168135,225.7834568886652,304.16754568262877,0.9930252750609149,0.9888753492505453,0.9918398474042284,0.9890107326587739
224,CAMERA 4_OZ/good_image_png/OZ_good_image12.png,good,0,0.030999999999039574,1.7592911128489368,2.3533489161976044,1.8069554874867861,2.3336727647465554,0.6537116565494163,0.6521692815914681,0.6538929947152069,0.6521253906910857,0.9249148175214006,0.9178630194728505,0.9244855415713176,0.917946392136914,217.00727619238285,326.6829110007851,237.2756012121769,321.21696026535864,0.9921247921565102,0.9881470999555654,0.9913880137582384,0.9883454187703337
225,CAMERA 4_OZ/good_image_png/OZ_good_image120.png,good,0,0.0470000000022992,1.741409304144229,2.3441239367632547,1.787697960114535,2.3058461829458268,0.6523278844376725,0.650762123802193,0.6525529705770019,0.6507879981380221,0.9247289862832779,0.917673296731905,0.9246151710889288,0.9179391343727883,213.11239738081144,324.9462513483112,236.86878665925926,317.9694258989406,0.9923018533541625,0.9882645911120261,0.9914425444581657,0.9885165586268022
226,CAMERA 4_OZ/good_image_png/OZ_good_image1200.png,good,0,0.046999999998661224,1.661743386760831,2.255657076982081,1.7091387513032847,2.251864358968056,0.6526932622092728,0.651210805749231,0.6529438042321537,0.6511239916711106,0.9254059280247084,0.9180757411526419,0.925272307737497,0.9179651049753548,199.94919289162337,309.4880442147045,223.489443756497,306.9761251173252,0.9927741032489018,0.9888179583787015,0.9919223374446887,0.988908715952121
227,CAMERA 4_OZ/good_image_png/OZ_good_image1201.png,good,0,0.0470000000022992,1.619495211102736,2.1838000719085393,1.6513140315431272,2.1986056951103063,0.6507380009662935,0.6492366960084929,0.6510082297160916,0.6491676220443873,0.9235774721174943,0.9161948202416711,0.9234511816839672,0.9160658220229506,194.97541292028785,300.0772321963843,215.6048186587405,300.2139934336964,0.9929059936603505,0.9890843351603957,0.9921543441938634,0.9890793603083604
