number,Filename,category,class,duration,Dissimilarity 0,Dissimilarity 45,Dissimilarity 90,Dissimilarity 135,Energy 0,Energy 45,Energy 90,Energy 135,Homogeneity 0,Homogeneity 45,Homogeneity 90,Homogeneity 135,Contrast 0,Contrast 45,Contrast 90,Contrast 135,Correlation 0,Correlation 45,Correlation 90,Correlation 135
1164,CAMERA 4_OZ/good_bottle_png/OZ_good_bottle803.png,good,0,0.046999999998661224,3.9919970649382632,5.473461678845576,4.261246851077415,5.380002498646616,0.6960008440670467,0.6932001259252604,0.6950180894091713,0.6933305633834027,0.8359039135894939,0.8220936902678937,0.8377819904382304,0.8223385848843083,493.38328482328626,783.834290739582,592.3624819624887,764.072509743504,0.9746936092833485,0.9597048829430531,0.9696678845030433,0.960720790626472
1165,CAMERA 4_OZ/good_bottle_png/OZ_good_bottle804.png,good,0,0.030999999999039574,4.1839183074477475,5.551943677566874,4.120637366400145,5.518084566938075,0.6844979545601572,0.6821257997756477,0.6842996673319983,0.6819994172123823,0.8368926793419619,0.8251042847536747,0.8414037213885555,0.8244314926217684,530.5757343769139,805.9084270530044,573.0912637268657,790.2844880591745,0.974460840473797,0.9611291588243329,0.9724507597560483,0.9618827378052497
1166,CAMERA 4_OZ/good_bottle_png/OZ_good_bottle805.png,good,0,0.03200000000288128,4.038226733520864,5.5299604870891566,4.233411597818437,5.384529458308167,0.6881057870444374,0.6854008173198515,0.687463126775953,0.685638932202754,0.8377902592182969,0.8243341571551601,0.8395696988302301,0.8246303848294986,509.2761624067528,804.7213984581975,596.7746594272104,776.6582071966006,0.9746899197876256,0.9599206365475516,0.9703754161978575,0.9613183312582462
1167,CAMERA 4_OZ/good_bottle_png/OZ_good_bottle806.png,good,0,0.046999999998661224,4.022416534181265,5.400043113901601,4.030777508743672,5.442201650576589,0.6795793988972799,0.6772107749897217,0.6792419281951075,0.6770812810759526,0.8315493654742441,0.8185868190470365,0.8350861548682712,0.8180107905962599,506.4498740369353,781.5603239421894,564.040203487668,783.3348725322908,0.9756343878271709,0.9623240497900261,0.9728994528595065,0.9622385057798227
1168,CAMERA 4_OZ/good_bottle_png/OZ_good_bottle807.png,good,0,0.0459999999984575,4.069715054420963,5.494374370745315,4.174559150830395,5.432447130353465,0.6783495741013398,0.675763758579276,0.6779286135657958,0.6758192681623261,0.8333860555347717,0.8203594625839501,0.8363800607145071,0.8204361502956885,510.85416411887246,792.285754530031,578.0268153691954,776.3978800698718,0.9751765125304556,0.9614222877298841,0.9719490321423474,0.9621958947851716
1169,CAMERA 4_OZ/good_bottle_png/OZ_good_bottle808.png,good,0,0.0470000000022992,4.166403326403354,5.450870974300741,4.0675177929415804,5.533747651394751,0.7005812987066077,0.6983408693098322,0.7004581532335469,0.6979724130487095,0.8375839464873758,0.8256375385358252,0.8419538983566173,0.8248577023149761,526.3450507521114,784.3267494812947,561.4129723384036,793.8785608775722,0.9730783865326684,0.9598077054962668,0.9713431083434219,0.9593182293730366
1170,CAMERA 4_OZ/good_bottle_png/OZ_good_bottle809.png,good,0,0.046999999998661224,4.041756145285588,5.478752930398067,4.124729131508847,5.4650691659665265,0.6956783203034236,0.6931735901550998,0.6952943910313232,0.693013783634243,0.8356820874674427,0.8222614822936423,0.8382610296602958,0.8217834233853806,514.0107863519647,795.3150964796112,573.697277863385,787.7136257076515,0.9737181128731042,0.9592431299558986,0.970713723788873,0.9596326763856959
1171,CAMERA 4_OZ/good_bottle_png/OZ_good_bottle81.png,good,0,0.030999999999039574,4.523233459704088,5.944485952462078,4.568234402132771,5.846352833391767,0.7030094888472704,0.7004764219539741,0.7026083032788191,0.7005723020913086,0.8337704445485726,0.8216361352686777,0.8364486299368498,0.8224629438063397,569.7553136847272,851.8458531040875,632.0423019541726,831.2512536101848,0.9704013647571619,0.9556430212530874,0.9672222501413509,0.9567154150538247
1172,CAMERA 4_OZ/good_bottle_png/OZ_good_bottle810.png,good,0,0.030999999999039574,4.177243487831753,5.599594337381033,4.2455939540685765,5.560502766883673,0.6958341938023134,0.6934228969358133,0.6955122955912582,0.6932571614211523,0.8345471238774713,0.8214647128084717,0.837915143630245,0.8213186007608244,527.3845175492253,811.4799728578481,593.4324748697672,800.244210856382,0.9727291756648553,0.9579431865183988,0.9693674100907816,0.9585255056915457
1173,CAMERA 4_OZ/good_bottle_png/OZ_good_bottle811.png,good,0,0.046999999998661224,4.075749052219668,5.526452583282145,4.211524445422801,5.509344203262503,0.6937793522792227,0.691298199584614,0.6934362675509379,0.6911767159524332,0.8334136968434027,0.8199464164506699,0.8358927782588652,0.8202969267337364,508.4382487464854,792.6368119229629,580.4681732580113,785.1001638818286,0.9739083878619307,0.9592340864603196,0.9702633765224672,0.9596217019959714
1174,CAMERA 4_OZ/good_bottle_png/OZ_good_bottle812.png,good,0,0.0470000000022992,4.078295218295253,5.394531393534453,4.019424266881945,5.453024219724189,0.6822241084381607,0.6798530674328048,0.681928567926783,0.6796927137626786,0.8295382870653515,0.8173205801526671,0.834573620714917,0.8165813137116228,516.5920973462174,779.3625781133383,557.4156822461981,783.7740464111458,0.974923253322011,0.9620919888060347,0.97298123119681,0.9618774160329644
1175,CAMERA 4_OZ/good_bottle_png/OZ_good_bottle813.png,good,0,0.046999999998661224,4.043206554971293,5.4890978171138345,4.082945679555903,5.384600498259577,0.6811570954411348,0.6785859409158652,0.6808186711505965,0.6786665150749972,0.8317979843678734,0.8187829048898261,0.8359382412404623,0.8182103660234045,502.6923492723523,788.0970479225809,565.5727101523771,766.322048596236,0.975749113478774,0.9619046488061889,0.972751735089578,0.9629572174571768
1176,CAMERA 4_OZ/good_bottle_png/OZ_good_bottle814.png,good,0,0.046999999998661224,3.954993273816828,5.3685552678574116,3.9537261232177054,5.213928239850538,0.6786678782122048,0.6761735811071371,0.6784396163070479,0.6763078872619748,0.8316228677475931,0.8188689689685479,0.8359234696757776,0.8188652478961628,497.63797236150384,777.5402710786663,547.5171276934054,747.0667775543247,0.9758032785800937,0.9621167208192468,0.9734144125262314,0.9636014488850987
